ortholog group	Spesies#sequence_id
OG10279	Branig#BniB037617_PA, Braole#Bol032787, Brarap#BraA05000673, Rapsat#Rsa1.0_02413.1_g00002.1_TE, Sisiri#SI_scaffold1310_3
OG10295	Branig#BniB009742_PA, Braole#Bol010454, Brarap#BraSca000744, Rapsat#Rsa1.0_00018.1_g00063.1
OG10296	Branig#BniB015415_PA, Braole#Bol029120, Brarap#BraA08005350, Rapsat#Rsa1.0_00020.1_g00036.1
OG10312	Branig#BniB033851_PA, Braole#Bol039738, Brarap#BraA03001916, Rapsat#Rsa1.0_02649.1_g00002.1
OG10313	Branig#BniB016960_PA, Braole#Bol037715, Brarap#BraA04002782, Rapsat#Rsa1.0_00490.1_g00020.1
OG10314	Araalp#KFK42509.1, Eutsal#Thhalv10009402m, Schpar#Tp1g01030, Thlarv#Ta14432
OG10316	Branig#BniB043011_PA, Braole#Bol040706, Brarap#BraA10001712, Rapsat#Rsa1.0_00949.1_g00009.1, Sisiri#SI_scaffold2233_27
OG10321	Branig#BniB042160_PA, Braole#Bol044533, Brarap#BraA09002572, Rapsat#Rsa1.0_29253.1_g00001.1_partial, Sisiri#SI_scaffold2315_21
OG10326	Branig#BniB048226_PA, Braole#Bol008407, Brarap#BraA08004568, Rapsat#Rsa1.0_03424.1_g00001.1, Thlarv#Ta11439
OG10330	Braole#Bol040887, Brarap#BraA09000164, Leaala#LA_scaffold2184_6, Sisiri#SI_C230305_1
OG10334	Branig#BniB024453_PA, Braole#Bol028933, Brarap#BraA01000160, Rapsat#Rsa1.0_01237.1_g00008.1
OG10339	Branig#BniB004356_PA, Braole#Bol027239, Brarap#BraA05001799, Rapsat#Rsa1.0_04013.1_g00003.1, Sisiri#SI_scaffold2426_190
OG10340	Branig#BniB045923_PA, Braole#Bol019235, Brarap#BraA09005011, Rapsat#Rsa1.0_00176.1_g00001.1, Schpar#Tp2g29480
OG10350	Branig#BniB039751_PA, Braole#Bol012327, Brarap#BraA05001193, Rapsat#Rsa1.0_06965.1_g00003.1
OG10354	Branig#BniB021202_PA, Braole#Bol009696, Brarap#BraA09002871, Rapsat#Rsa1.0_00067.1_g00001.1, Sisiri#SI_scaffold2446_93
OG10360	Branig#BniB042952_PA, Braole#Bol032021, Brarap#BraA05001824, Rapsat#Rsa1.0_08004.1_g00002.1
OG10363	Branig#BniB010508_PA, Brarap#BraA07002796, Rapsat#Rsa1.0_01221.1_g00002.1, Sisiri#SI_scaffold161_32
OG10364	Branig#BniB046400_PA, Braole#Bol034945, Brarap#BraA05002596, Rapsat#Rsa1.0_00864.1_g00008.1
OG10368	Branig#BniB026379_PA, Braole#Bol025797, Brarap#BraA03001019, Eutsal#Thhalv10015465m, Rapsat#Rsa1.0_00728.1_g00009.1, Schpar#Tp6g23230, Thlarv#Ta07634
OG10369	Branig#BniB038509_PA, Braole#Bol035743, Brarap#BraA10000109, Rapsat#Rsa1.0_00010.1_g00007.1
OG10371	Branig#BniB003016_PA, Brarap#BraA07003070, Rapsat#Rsa1.0_02605.1_g00001.1_TE, Sisiri#SI_scaffold1815_27
OG10372	Branig#BniB006464_PA, Braole#Bol039924, Brarap#BraA07001968, Rapsat#Rsa1.0_01963.1_g00001.1
OG10376	Branig#BniB047253_PA, Braole#Bol026833, Brarap#BraA06001969, Rapsat#Rsa1.0_00015.1_g00049.1
OG10381	Branig#BniB012115_PA, Braole#Bol030139, Brarap#BraA05004748, Rapsat#Rsa1.0_00675.1_g00014.1, Sisiri#SI_scaffold1717_42
OG10382	Branig#BniB013749_PA, Braole#Bol021704, Brarap#BraA04003839, Rapsat#Rsa1.0_14813.1_g00001.1
OG10383	Branig#BniB048870_PA, Braole#Bol029525, Brarap#BraA03002387, Rapsat#Rsa1.0_00500.1_g00010.1, Schpar#Tp4g27020
OG10390	Branig#BniB010394_PA, Braole#Bol011691, Brarap#BraA04003823, Rapsat#Rsa1.0_00479.1_g00010.1
OG10391	Branig#BniB046181_PA, Braole#Bol037785, Brarap#BraA04002715, Rapsat#Rsa1.0_01523.1_g00009.1
OG10392	Branig#BniB034013_PA, Braole#Bol039785, Brarap#BraA03001875, Rapsat#Rsa1.0_03669.1_g00002.1
OG10395	Branig#BniB002409_PA, Braole#Bol033786, Brarap#BraA06003482, Rapsat#Rsa1.0_00237.1_g00034.1
OG10396	Branig#BniB015206_PA, Braole#Bol017510, Brarap#BraA08003622, Rapsat#Rsa1.0_00941.1_g00006.1
OG10397	Branig#BniB009304_PA, Braole#Bol017868, Brarap#BraA01000529, Rapsat#Rsa1.0_00017.1_g00127.1
OG10400	Branig#BniB001617_PA, Braole#Bol043558, Brarap#BraA08001849, Rapsat#Rsa1.0_00016.1_g00043.1, Sisiri#SI_scaffold684_27
OG10401	Branig#BniB023350_PA, Braole#Bol024718, Brarap#BraA02000412, Rapsat#Rsa1.0_05848.1_g00002.1, Schpar#Tp6g32020
OG10404	Branig#BniB000627_PA, Braole#Bol022325, Brarap#BraA06005127, Rapsat#Rsa1.0_00870.1_g00002.1, Sisiri#SI_scaffold2344_7
OG10409	Branig#BniB045329_PA, Braole#Bol027573, Brarap#BraA07003263, Rapsat#Rsa1.0_00920.1_g00013.1
OG10416	Braole#Bol008857, Eutsal#Thhalv10014745m, Rapsat#Rsa1.0_00192.1_g00009.1, Thlarv#Ta00694
OG10418	Branig#BniB025245_PA, Braole#Bol042866, Brarap#BraA06005618, Rapsat#Rsa1.0_01696.1_g00011.1_TE
OG10419	Braole#Bol031148, Brarap#BraA02002470, Rapsat#Rsa1.0_00252.1_g00014.1, Schpar#Tp2g16330
OG10426	Branig#BniB012794_PA, Braole#Bol036155, Brarap#BraA02000880, Rapsat#Rsa1.0_02488.1_g00001.1
OG10437	Branig#BniB014458_PA, Brarap#BraA07002853, Rapsat#Rsa1.0_00139.1_g00019.1, Thlarv#Ta20913
OG10438	Branig#BniB015938_PA, Braole#Bol034893, Brarap#BraA05002774, Rapsat#Rsa1.0_07506.1_g00002.1
OG10445	Branig#BniB036481_PA, Brarap#BraA05004300, Rapsat#Rsa1.0_00670.1_g00009.1, Sisiri#SI_scaffold1597_91
OG10456	Branig#BniB006703_PA, Brarap#BraA02002983, Eutsal#Thhalv10004981m, Rapsat#Rsa1.0_03615.1_g00004.1, Schpar#Tp2g21480, Sisiri#SI_scaffold2344_43, Thlarv#Ta16876
OG10457	Branig#BniB041388_PA, Braole#Bol032463, Brarap#BraA09001925, Rapsat#Rsa1.0_04580.1_g00001.1
OG10462	Branig#BniB017482_PA, Braole#Bol045793, Brarap#BraA09002206, Rapsat#Rsa1.0_02895.1_g00006.1, Schpar#Tp4g02900, Sisiri#SI_scaffold496_1
OG10463	Branig#BniB028062_PA, Brarap#BraA04001927, Eutsal#Thhalv10000321m, Rapsat#Rsa1.0_03544.1_g00002.1, Thlarv#Ta03246
OG10466	Branig#BniB000648_PA, Braole#Bol022378, Brarap#BraA06005077, Rapsat#Rsa1.0_00810.1_g00002.1, Sisiri#SI_scaffold631_35
OG10467	Branig#BniB045758_PA, Braole#Bol036178, Brarap#BraA09001968, Rapsat#Rsa1.0_00051.1_g00012.1, Schpar#Tp2g22440, Thlarv#Ta24613
OG10472	Araalp#KFK29784.1, Branig#BniB002388_PA, Braole#Bol033748, Brarap#BraA06003594, Rapsat#Rsa1.0_00092.1_g00045.1
OG10473	Branig#BniB015185_PA, Braole#Bol017466, Brarap#BraA08003671, Rapsat#Rsa1.0_01112.1_g00016.1
OG10480	Branig#BniB021069_PA, Braole#Bol026649, Brarap#BraA03004000, Rapsat#Rsa1.0_02265.1_g00004.1
OG10481	Branig#BniB034750_PA, Braole#Bol009631, Brarap#BraA02002636, Rapsat#Rsa1.0_00790.1_g00013.1
OG10482	Branig#BniB043506_PA, Braole#Bol004706, Brarap#BraSca000889, Rapsat#Rsa1.0_01552.1_g00007.1
OG10484	Branig#BniB005678_PA, Braole#Bol010111, Brarap#BraA06003540, Eutsal#Thhalv10011805m, Rapsat#Rsa1.0_05689.1_g00003.1, Schpar#Tp1g37700, Sisiri#SI_scaffold3017_5, Thlarv#Ta08191
OG10485	Araalp#KFK39210.1, Branig#BniB039295_PA, Brarap#BraA05002661, Rapsat#Rsa1.0_00279.1_g00010.1
OG10487	Branig#BniB017424_PA, Braole#Bol022884, Brarap#BraA03003893, Rapsat#Rsa1.0_07981.1_g00002.1
OG10488	Branig#BniB036115_PA, Brarap#BraA05001197, Rapsat#Rsa1.0_01695.1_g00002.1, Schpar#Tp3g16670, Sisiri#SI_scaffold1180_89
OG10494	Branig#BniB015766_PA, Braole#Bol021137, Brarap#BraA08003904, Rapsat#Rsa1.0_03393.1_g00006.1
OG10496	Branig#BniB018734_PA, Brarap#BraA07000943, Schpar#Tp7g26320, Sisiri#SI_scaffold2444_83
OG10498	Aetara#AA_scaffold3842_90, Braole#Bol027976, Brarap#BraA03001433, Eutsal#Thhalv10015328m
OG10503	Braole#Bol008279, Brarap#BraA08005126, Sisiri#SI_scaffold1345_40, Thlarv#Ta20402
OG10534	Aetara#AA_scaffold2513_168, Branig#BniB002015_PA, Carhir#CARHR050010.1, Eutsal#Thhalv10023360m, Sisiri#SI_C223335_1, Thlarv#Ta10296
OG1054	Aetara#AA_scaffold320_8, Leaala#LA_scaffold1602_2, Rapsat#Rsa1.0_13936.1_g00002.1_TE, Sisiri#SI_scaffold637_41
OG1055	Aetara#AA_scaffold474_4, Brarap#BraA01001772, Leaala#LA_C12937_1, Rapsat#Rsa1.0_05809.1_g00002.1, Sisiri#SI_scaffold344_4
OG10579	Aralyr#AL5G25240.t1, Aratha#AT3G46340.1, Caprub#Carubv10019376m, Carhir#CARHR154830.1
OG10588	Branig#BniB048581_PA, Brarap#BraA06003645, Rapsat#Rsa1.0_00859.1_g00007.1, Schpar#Tp1g38470
OG10589	Branig#BniB025110_PA, Braole#Bol031572, Brarap#BraA05000159, Eutsal#Thhalv10011228m, Rapsat#Rsa1.0_07846.1_g00001.1
OG1059	Aetara#AA_scaffold4446_16, Brarap#BraA06000677, Rapsat#Rsa1.0_03407.1_g00004.1_TE, Sisiri#SI_scaffold474_22
OG105	Branig#BniB017046_PA, Braole#Bol010884, Brarap#BraA06003725, Rapsat#Rsa1.0_01641.1_g00008.1_TE
OG10603	Aralyr#AL7G22250.t1, Aratha#AT4G29990.1, Branig#BniB018670_PA, Braole#Bol020960, Brarap#BraA01000779, Eutsal#Thhalv10024418m, Leaala#LA_scaffold1668_3, Schpar#Tp7g27790, Thlarv#Ta12853
OG10606	Branig#BniB001074_PA, Braole#Bol023314, Brarap#BraA08005683, Eutsal#Thhalv10006777m
OG10614	Braole#Bol015599, Eutsal#Thhalv10012134m, Rapsat#Rsa1.0_00134.1_g00030.1, Sisiri#SI_scaffold2006_9, Thlarv#Ta15656
OG10616	Branig#BniB048580_PA, Brarap#BraA06003648, Rapsat#Rsa1.0_00859.1_g00006.1, Schpar#Tp1g38490, Sisiri#SI_scaffold791_60
OG10625	Camsat#Csa07g036690.1, Leaala#LA_scaffold411_13, Sisiri#SI_scaffold1491_325, Thlarv#Ta01356
OG10628	Aetara#AA_scaffold3659_33, Araalp#KFK39243.1, Aratha#AT3G19230.1, Branig#BniB039335_PA, Brarap#BraA05000420, Camsat#Csa15g026950.1, Capgra#Cagra.5742s0005.1, Caprub#Carubv10015204m, Carhir#CARHR094640.1, Eutsal#Thhalv10022285m, Leaala#LA_scaffold3421_2, Rapsat#Rsa1.0_00217.1_g00013.1, Schpar#Tp3g17300, Sisiri#SI_scaffold845_12, Thlarv#Ta01199
OG1062	Aetara#AA_scaffold316_14, Rapsat#Rsa1.0_60805.1_g00001.1_partial_short, Schpar#Tp5g17790, Sisiri#SI_scaffold211_1
OG10630	Branig#BniB011940_PA, Braole#Bol025523, Brarap#BraA05004392, Rapsat#Rsa1.0_00707.1_g00017.1
OG10636	Branig#BniB009394_PA, Braole#Bol026112, Brarap#BraA07002490, Eutsal#Thhalv10018088m, Rapsat#Rsa1.0_00079.1_g00004.1, Schpar#Tp5g22730, Thlarv#Ta19823
OG10754	Brarap#BraA07000134, Leaala#LA_scaffold3388_2, Schpar#Tp4g07330, Thlarv#Ta10188
OG10809	Branig#BniB040939_PA, Braole#Bol022013, Rapsat#Rsa1.0_03212.1_g00001.1, Sisiri#SI_scaffold348_19
OG10828	Branig#BniB004715_PA, Braole#Bol037323, Eutsal#Thhalv10002115m, Schpar#Tp3g26420, Thlarv#Ta16093
OG10854	Araalp#KFK27225.1, Branig#BniB031076_PA, Braole#Bol026078, Brarap#BraA03001295, Eutsal#Thhalv10013956m, Rapsat#Rsa1.0_03711.1_g00004.1, Schpar#Tp6g18360, Thlarv#Ta22069
OG10858	Branig#BniB016108_PA, Braole#Bol039425, Brarap#BraA05003017, Rapsat#Rsa1.0_04197.1_g00005.1, Sisiri#SI_scaffold242_181
OG10859	Branig#BniB043084_PA, Braole#Bol040005, Brarap#BraA07002056, Rapsat#Rsa1.0_04716.1_g00003.1
OG10873	Branig#BniB024502_PA, Braole#Bol028936, Brarap#BraA01000165, Rapsat#Rsa1.0_01237.1_g00002.1, Sisiri#SI_scaffold1321_204
OG10881	Branig#BniB047415_PA, Braole#Bol008001, Brarap#BraA09002827, Rapsat#Rsa1.0_05233.1_g00004.1
OG10885	Branig#BniB003880_PA, Braole#Bol033310, Brarap#BraA04002328, Rapsat#Rsa1.0_02905.1_g00001.1
OG10889	Branig#BniB014605_PA, Braole#Bol016882, Brarap#BraA10000380, Rapsat#Rsa1.0_02326.1_g00004.1, Sisiri#SI_scaffold1831_76, Thlarv#Ta10438
OG10891	Branig#BniB020349_PA, Brarap#BraA04002520, Rapsat#Rsa1.0_04224.1_g00002.1, Schpar#Tp4g14860
OG10929	Branig#BniB027999_PA, Braole#Bol004866, Brarap#BraA05005020, Rapsat#Rsa1.0_01408.1_g00009.1
OG10938	Branig#BniB011758_PA, Braole#Bol042685, Brarap#BraA03005124, Sisiri#SI_scaffold1342_27
OG10939	Branig#BniB027791_PA, Braole#Bol004767, Brarap#BraA07000235, Rapsat#Rsa1.0_07122.1_g00001.1
OG10943	Branig#BniB043644_PA, Braole#Bol023045, Brarap#BraA01002907, Rapsat#Rsa1.0_00131.1_g00023.1
OG10959	Branig#BniB000436_PA, Braole#Bol022331, Brarap#BraA06005123, Rapsat#Rsa1.0_00870.1_g00007.1
OG11003	Branig#BniB037180_PA, Braole#Bol023892, Brarap#BraA07002654, Rapsat#Rsa1.0_02139.1_g00002.1
OG11004	Branig#BniB036611_PA, Braole#Bol018664, Brarap#BraA06002898, Eutsal#Thhalv10026441m, Rapsat#Rsa1.0_00327.1_g00004.1_TE, Schpar#Tp7g34070, Sisiri#SI_scaffold1321_135
OG11005	Branig#BniB044076_PA, Braole#Bol029000, Brarap#BraA01000235, Rapsat#Rsa1.0_00487.1_g00002.1_TE
OG11013	Aetara#AA_scaffold5078_133, Branig#BniB007249_PA, Braole#Bol014403, Brarap#BraA04000072, Eutsal#Thhalv10006281m, Rapsat#Rsa1.0_00270.1_g00004.1, Schpar#Tp5g01130, Thlarv#Ta09136
OG11019	Araalp#KFK34780.1, Branig#BniB030279_PA, Braole#Bol045403, Brarap#BraA03005128, Rapsat#Rsa1.0_03155.1_g00004.1, Schpar#Tp5g07090, Sisiri#SI_scaffold549_114, Thlarv#Ta05675
OG11020	Branig#BniB006972_PA, Braole#Bol044212, Brarap#BraA04000473, Rapsat#Rsa1.0_04374.1_g00001.1
OG11022	Branig#BniB019375_PA, Braole#Bol008656, Brarap#BraA07000948, Rapsat#Rsa1.0_07883.1_g00001.1
OG11028	Branig#BniB045396_PA, Braole#Bol027661, Brarap#BraA07003171, Rapsat#Rsa1.0_05501.1_g00002.1
OG11034	Branig#BniB046110_PA, Braole#Bol008923, Brarap#BraA02001060, Rapsat#Rsa1.0_00415.1_g00010.1
OG11039	Branig#BniB001925_PA, Braole#Bol010063, Brarap#BraA08002760, Rapsat#Rsa1.0_00280.1_g00007.1
OG11044	Branig#BniB011978_PA, Braole#Bol017757, Brarap#BraA05004470, Rapsat#Rsa1.0_03355.1_g00004.1, Sisiri#SI_scaffold68_89
OG11045	Branig#BniB016754_PA, Braole#Bol025277, Brarap#BraA04002884, Rapsat#Rsa1.0_00328.1_g00010.1, Schpar#Tp4g20400
OG11063	Branig#BniB001364_PA, Braole#Bol044033, Brarap#BraA08002103, Sisiri#SI_scaffold2090_64
OG11064	Branig#BniB023669_PA, Braole#Bol024476, Brarap#BraA02000177, Rapsat#Rsa1.0_14747.1_g00001.1_partial
OG11066	Branig#BniB003963_PA, Braole#Bol033327, Brarap#BraA04002348, Rapsat#Rsa1.0_00882.1_g00008.1_TE, Thlarv#Ta08160
OG11067	Branig#BniB010865_PA, Brarap#BraA08005005, Rapsat#Rsa1.0_05108.1_g00001.1, Sisiri#SI_scaffold154_59
OG11072	Branig#BniB001055_PA, Brarap#BraA06005420, Rapsat#Rsa1.0_05821.1_g00002.1, Sisiri#SI_scaffold688_265
OG11077	Branig#BniB024065_PA, Braole#Bol036089, Brarap#BraA02000939, Rapsat#Rsa1.0_00355.1_g00001.1
OG11078	Branig#BniB038595_PA, Braole#Bol035763, Brarap#BraA10000082, Rapsat#Rsa1.0_00247.1_g00011.1, Schpar#Tp6g23410, Sisiri#SI_scaffold781_114
OG11080	Aralyr#AL6G32680.t1, Aratha#AT5G21100.1, Capgra#Cagra.10304s0001.1, Caprub#Carubv10003529m, Carhir#CARHR191770.1
OG11081	Aralyr#AL6G32690.t1, Capgra#Cagra.30135s0001.1, Caprub#Carubv10000578m, Leaala#LA_scaffold635_3
OG11082	Branig#BniB024064_PA, Braole#Bol036090, Brarap#BraA02000938, Rapsat#Rsa1.0_01611.1_g00001.1
OG11083	Branig#BniB038592_PA, Braole#Bol035765, Brarap#BraA10000079, Rapsat#Rsa1.0_00247.1_g00013.1
OG11087	Branig#BniB014376_PA, Brarap#BraA02001609, Rapsat#Rsa1.0_00266.1_g00016.1, Thlarv#Ta24791
OG11089	Branig#BniB026744_PA, Braole#Bol028087, Brarap#BraA03001553, Rapsat#Rsa1.0_04783.1_g00003.1
OG11093	Branig#BniB022540_PA, Braole#Bol030537, Brarap#BraA03002830, Rapsat#Rsa1.0_00103.1_g00008.1
OG11099	Branig#BniB016605_PA, Braole#Bol040379, Brarap#BraA05003474, Rapsat#Rsa1.0_04886.1_g00001.1
OG11102	Branig#BniB036222_PA, Braole#Bol035528, Brarap#BraA03003654, Rapsat#Rsa1.0_01206.1_g00009.1
OG11105	Branig#BniB022450_PA, Braole#Bol035219, Brarap#BraA08002981, Rapsat#Rsa1.0_01122.1_g00007.1
OG11108	Branig#BniB016671_PA, Braole#Bol040378, Brarap#BraA05003475, Rapsat#Rsa1.0_04886.1_g00002.1
OG11109	Branig#BniB034961_PA, Braole#Bol015808, Brarap#BraA01002619, Rapsat#Rsa1.0_00577.1_g00017.1
OG11110	Branig#BniB036376_PA, Braole#Bol035527, Brarap#BraA03003653, Rapsat#Rsa1.0_01206.1_g00008.1
OG11114	Branig#BniB024495_PA, Braole#Bol028954, Brarap#BraA01000185, Sisiri#SI_scaffold1321_185
OG11115	Branig#BniB036621_PA, Braole#Bol018639, Brarap#BraA06002797, Rapsat#Rsa1.0_00269.1_g00003.1
OG11119	Branig#BniB004407_PA, Braole#Bol027211, Brarap#BraA05001840, Rapsat#Rsa1.0_00999.1_g00005.1
OG11120	Branig#BniB046935_PA, Braole#Bol008096, Brarap#BraA03004246, Rapsat#Rsa1.0_00261.1_g00012.1
OG11121	Branig#BniB045531_PA, Braole#Bol019249, Brarap#BraA09005024, Rapsat#Rsa1.0_01073.1_g00006.1
OG11123	Branig#BniB013178_PA, Braole#Bol028483, Brarap#BraA01001222, Rapsat#Rsa1.0_01730.1_g00005.1
OG11135	Aetara#AA_scaffold1068_33, Aralyr#AL8G36870.t1, Aratha#AT5G60280.1, Branig#BniB040681_PA, Brarap#BraA10000236, Capgra#Cagra.2519s0003.1, Caprub#Carubv10027940m, Carhir#CARHR273960.1, Eutsal#Thhalv10012851m, Leaala#LA_scaffold1686_63, Rapsat#Rsa1.0_00099.1_g00026.1, Schpar#Tp6g21890
OG11137	Branig#BniB008178_PA, Brarap#BraA06004179, Rapsat#Rsa1.0_00651.1_g00007.1, Sisiri#SI_scaffold625_6
OG11141	Branig#BniB040682_PA, Braole#Bol017235, Brarap#BraA10000235, Rapsat#Rsa1.0_00099.1_g00027.1
