ortholog group	Spesies#sequence_id
OG1078	Droere#FBpp0138101, Drogri#FBpp0152334, Dromel#FBpp0288476, Dromoj#FBpp0388920, Droper#FBpp0188571, Dropse#FBpp0282301, Drosec#FBpp0205574, Drovir#FBpp0224832
OG10793	Droere#FBpp0134359, Dromel#FBpp0074992, Drosec#FBpp0205811, Drosim#FBpp0210809, Droyak#FBpp0267162
OG10806	Droere#FBpp0141517, Dromel#FBpp0072206, Drosec#FBpp0193341, Drosim#FBpp0210264, Droyak#FBpp0259420
OG10826	Droere#FBpp0134746, Drogri#FBpp0148999, Dromel#FBpp0078026, Dromoj#FBpp0162959, Droper#FBpp0189380, Dropse#FBpp0275091, Drosec#FBpp0203860, Drosim#FBpp0213374, Drovir#FBpp0228504, Drowil#FBpp0377423
OG10832	Droere#FBpp0132329, Dromel#FBpp0075626, Drosec#FBpp0206086, Drosim#FBpp0316547, Droyak#FBpp0265087
OG10840	Droere#FBpp0140352, Dromel#FBpp0271806, Drosec#FBpp0203286, Drosim#FBpp0209702, Droyak#FBpp0256893
OG10841	Droere#FBpp0140354, Dromel#FBpp0309237, Drosec#FBpp0203287, Drosim#FBpp0209703, Droyak#FBpp0256894
OG10857	Droere#FBpp0139394, Dromel#FBpp0085569, Drosec#FBpp0201253, Drosim#FBpp0223669, Droyak#FBpp0258797
OG10858	Droere#FBpp0143291, Dromel#FBpp0077673, Drosec#FBpp0198244, Drosim#FBpp0221448, Droyak#FBpp0262088
OG10885	Droere#FBpp0141451, Dromel#FBpp0072050, Drosec#FBpp0197542, Drosim#FBpp0210213, Droyak#FBpp0259353
OG10942	Droere#FBpp0369170, Drogri#FBpp0152519, Dromoj#FBpp0159578, Drosim#FBpp0324298, Drovir#FBpp0224630
OG10959	Drogri#FBpp0155509, Dromoj#FBpp0168791, Droper#FBpp0181424, Dropse#FBpp0276109, Drovir#FBpp0235567, Drowil#FBpp0250019
OG10963	Drogri#FBpp0146532, Dromoj#FBpp0160254, Dropse#FBpp0272993, Drovir#FBpp0397311, Drowil#FBpp0254194
OG10968	Drogri#FBpp0150252, Dromoj#FBpp0160754, Dropse#FBpp0274453, Drovir#FBpp0392114, Drowil#FBpp0375135
OG10972	Droere#FBpp0369868, Dromel#FBpp0081650, Drosec#FBpp0205328, Drosim#FBpp0217061, Droyak#FBpp0271012
OG10974	Droere#FBpp0132153, Dromel#FBpp0074974, Drosec#FBpp0207166, Drosim#FBpp0213097, Droyak#FBpp0264913
OG10976	Drogri#FBpp0150063, Dromoj#FBpp0161645, Droper#FBpp0188880, Dropse#FBpp0287619, Drovir#FBpp0226741
OG10982	Drogri#FBpp0144845, Dromoj#FBpp0162749, Droper#FBpp0183190, Dropse#FBpp0279215, Drovir#FBpp0395729, Drowil#FBpp0244539
OG10996	Drogri#FBpp0146344, Dromoj#FBpp0171008, Droper#FBpp0177413, Dropse#FBpp0273102, Drovir#FBpp0231380, Drowil#FBpp0254619
OG1099	Droana#FBpp0114414, Drogri#FBpp0149762, Dromoj#FBpp0161856, Droper#FBpp0174711, Dropse#FBpp0276757, Drovir#FBpp0227175, Drowil#FBpp0250706
OG11004	Drogri#FBpp0147447, Dromoj#FBpp0159826, Droper#FBpp0183072, Dropse#FBpp0331575, Drovir#FBpp0236249, Drowil#FBpp0248143
OG11030	Droere#FBpp0141970, Dromel#FBpp0290742, Drosec#FBpp0202584, Drosim#FBpp0209043, Droyak#FBpp0264273
OG11078	Droere#FBpp0372863, Dromel#FBpp0112207, Drosec#FBpp0191663, Drosim#FBpp0216540, Droyak#FBpp0255643
OG1107	Droana#FBpp0118785, Droere#FBpp0143654, Drogri#FBpp0144923, Dromel#FBpp0078803, Dromoj#FBpp0166753, Droper#FBpp0183201, Dropse#FBpp0279228, Drosec#FBpp0200062, Drosim#FBpp0221775, Drovir#FBpp0229850, Drowil#FBpp0374312, Droyak#FBpp0270777
OG11082	Droere#FBpp0128650, Dromel#FBpp0079577, Drosec#FBpp0199603, Drosim#FBpp0222076, Droyak#FBpp0263929
OG11100	Drogri#FBpp0151261, Dromoj#FBpp0173109, Droper#FBpp0176729, Dropse#FBpp0284918, Drovir#FBpp0238402, Drowil#FBpp0243050
OG11103	Drogri#FBpp0156516, Dromoj#FBpp0172860, Droper#FBpp0186275, Dropse#FBpp0284425, Drovir#FBpp0239136, Drowil#FBpp0251983
OG11111	Drogri#FBpp0148851, Dromoj#FBpp0172917, Droper#FBpp0176678, Dropse#FBpp0284869, Drovir#FBpp0237675, Drowil#FBpp0242089
OG11164	Droere#FBpp0140466, Dromel#FBpp0099409, Drosec#FBpp0203389, Drosim#FBpp0209808, Droyak#FBpp0257005
OG11167	Drogri#FBpp0153212, Dromoj#FBpp0172740, Droper#FBpp0176787, Dropse#FBpp0284972, Drovir#FBpp0224691, Drowil#FBpp0375246
OG11170	Droere#FBpp0130910, Dromel#FBpp0083958, Drosec#FBpp0204980, Drosim#FBpp0326433, Droyak#FBpp0255828
OG11184	Droere#FBpp0373590, Dromel#FBpp0086333, Drosec#FBpp0201553, Drosim#FBpp0316754, Droyak#FBpp0360454
OG11194	Drogri#FBpp0156725, Dromoj#FBpp0170412, Droper#FBpp0181892, Dropse#FBpp0278210, Drovir#FBpp0235216, Drowil#FBpp0378168
OG11198	Droere#FBpp0370100, Dromel#FBpp0271809, Drosec#FBpp0204795, Drosim#FBpp0319815, Droyak#FBpp0362949
OG11203	Drogri#FBpp0152743, Dromoj#FBpp0159313, Droper#FBpp0176510, Dropse#FBpp0284701, Drovir#FBpp0238249, Drowil#FBpp0243156
OG11207	Droere#FBpp0133148, Dromel#FBpp0072604, Drosec#FBpp0195693, Drosim#FBpp0211881, Droyak#FBpp0265971
OG1120	Droana#FBpp0126546, Droere#FBpp0130218, Drogri#FBpp0152809, Dromel#FBpp0084813, Dromoj#FBpp0172337, Droper#FBpp0178002, Dropse#FBpp0283193, Drosec#FBpp0194274, Drosim#FBpp0219846, Drovir#FBpp0225026, Drowil#FBpp0241047, Droyak#FBpp0268872
OG11213	Droere#FBpp0129698, Dromel#FBpp0293210, Drosec#FBpp0207929, Drosim#FBpp0323780, Droyak#FBpp0255328
OG11217	Droere#FBpp0129109, Dromel#FBpp0087641, Drosec#FBpp0202088, Drosim#FBpp0328401, Droyak#FBpp0267378
OG11225	Drogri#FBpp0151725, Dromoj#FBpp0388131, Droper#FBpp0177439, Dropse#FBpp0273174, Drovir#FBpp0230251, Drowil#FBpp0375140
OG1122	Droana#FBpp0127909, Droere#FBpp0132711, Dromel#FBpp0073222, Drosec#FBpp0195432, Drosim#FBpp0211640, Droyak#FBpp0265602
OG11233	Drogri#FBpp0150713, Dromoj#FBpp0163036, Droper#FBpp0185095, Dropse#FBpp0274337, Drovir#FBpp0226103, Drowil#FBpp0249557
OG11246	Droana#FBpp0125412, Droere#FBpp0131290, Drogri#FBpp0146506, Dromel#FBpp0070143, Dromoj#FBpp0164651, Drosec#FBpp0200500, Drosim#FBpp0328627, Drovir#FBpp0229140, Drowil#FBpp0239202, Droyak#FBpp0261579
OG11247	Droere#FBpp0138601, Dromel#FBpp0071958, Drosec#FBpp0197047, Drosim#FBpp0223473, Droyak#FBpp0256602
OG11266	Droana#FBpp0125350, Drogri#FBpp0146771, Dromoj#FBpp0164178, Droper#FBpp0180648, Dropse#FBpp0273643, Drovir#FBpp0233343, Drowil#FBpp0377931
OG11279	Drogri#FBpp0148403, Dromoj#FBpp0162872, Droper#FBpp0187009, Dropse#FBpp0275500, Drovir#FBpp0228406, Drowil#FBpp0246636
OG11299	Drogri#FBpp0148471, Dromoj#FBpp0163109, Droper#FBpp0188580, Dropse#FBpp0274735, Drovir#FBpp0226163, Drowil#FBpp0254549
OG11304	Droere#FBpp0139906, Dromel#FBpp0297202, Drosec#FBpp0197594, Drosim#FBpp0220022
OG11316	Droere#FBpp0142411, Dromel#FBpp0080085, Drosec#FBpp0192107, Drosim#FBpp0222311, Droyak#FBpp0263678
OG11319	Drogri#FBpp0148593, Dromoj#FBpp0162518, Droper#FBpp0185166, Dropse#FBpp0286302, Drovir#FBpp0226487, Drowil#FBpp0245805
OG1131	Droere#FBpp0367382, Dromel#FBpp0290086, Drosec#FBpp0201358, Drosim#FBpp0318693, Droyak#FBpp0362317
OG1132	Droere#FBpp0373485, Dromel#FBpp0290085, Drosim#FBpp0321471, Droyak#FBpp0352461
OG11355	Droere#FBpp0134226, Dromel#FBpp0075482, Drosec#FBpp0206939, Drosim#FBpp0212889, Droyak#FBpp0267020
OG11378	Droere#FBpp0367423, Dromel#FBpp0309701, Drosec#FBpp0197184, Drosim#FBpp0326754, Droyak#FBpp0362751
OG11389	Droere#FBpp0129180, Dromel#FBpp0289066, Drosec#FBpp0202156, Drosim#FBpp0314972
OG11390	Droere#FBpp0368334, Dromel#FBpp0308444, Drosim#FBpp0317499, Droyak#FBpp0352348
OG11409	Droere#FBpp0141869, Dromel#FBpp0087939, Drosim#FBpp0213762, Droyak#FBpp0264178
OG11410	Droere#FBpp0141870, Dromel#FBpp0087940, Drosec#FBpp0192961, Drosim#FBpp0328637, Droyak#FBpp0264179
OG11411	Drogri#FBpp0155802, Dromoj#FBpp0169612, Droper#FBpp0175589, Dropse#FBpp0277683, Drovir#FBpp0236539, Drowil#FBpp0250886
OG11416	Droere#FBpp0138937, Dromel#FBpp0086795, Drosec#FBpp0202955, Drosim#FBpp0209376, Droyak#FBpp0257562
OG1142	Droana#FBpp0115700, Droere#FBpp0141436, Drogri#FBpp0156782, Dromel#FBpp0290385, Dromoj#FBpp0170473, Droper#FBpp0175142, Dropse#FBpp0330084, Drosec#FBpp0197527, Drosim#FBpp0327832, Drovir#FBpp0397190, Drowil#FBpp0374269
OG11436	Drogri#FBpp0158808, Dromoj#FBpp0389750, Droper#FBpp0183994, Dropse#FBpp0336361, Drovir#FBpp0390806, Drowil#FBpp0375103
OG1144	Droere#FBpp0366467, Dromel#FBpp0077137, Drosim#FBpp0322680, Droyak#FBpp0361259
OG11453	Droere#FBpp0137023, Dromel#FBpp0081949, Drosec#FBpp0205461, Drosim#FBpp0217188, Droyak#FBpp0269216
OG11459	Droere#FBpp0129242, Dromel#FBpp0087958, Drosec#FBpp0202221, Drosim#FBpp0208612, Droyak#FBpp0268508
OG11492	Droere#FBpp0141011, Dromel#FBpp0086768, Drosec#FBpp0201728, Drosim#FBpp0323519, Droyak#FBpp0258346
OG11493	Drogri#FBpp0153178, Dromoj#FBpp0166145, Drosec#FBpp0192437, Drowil#FBpp0380123, Droyak#FBpp0357497
OG11495	Droere#FBpp0366894, Dromel#FBpp0290916, Drosec#FBpp0196902, Drosim#FBpp0325857, Droyak#FBpp0271158
OG11527	Droana#FBpp0345849, Droere#FBpp0132315, Drogri#FBpp0150639, Dromel#FBpp0075591, Dromoj#FBpp0162676, Droper#FBpp0179800, Dropse#FBpp0274412, Drosec#FBpp0206070, Drosim#FBpp0318783, Drovir#FBpp0226239, Drowil#FBpp0241591, Droyak#FBpp0265074
OG11533	Droere#FBpp0139799, Dromel#FBpp0080943, Drosec#FBpp0204848, Drosim#FBpp0222683, Droyak#FBpp0257358
OG11536	Droere#FBpp0135441, Dromel#FBpp0082510, Drosec#FBpp0205681, Drosim#FBpp0217396, Droyak#FBpp0269287
OG11540	Droere#FBpp0138929, Dromel#FBpp0086787, Droper#FBpp0181510, Dropse#FBpp0277914, Drosec#FBpp0202948, Drosim#FBpp0209370, Droyak#FBpp0257555
OG11543	Drogri#FBpp0144925, Dromoj#FBpp0166755, Droper#FBpp0183155, Dropse#FBpp0279175, Drovir#FBpp0229854, Drowil#FBpp0243855
OG11573	Droere#FBpp0135785, Dromel#FBpp0081847, Drosec#FBpp0207595, Drosim#FBpp0219080, Droyak#FBpp0269649
OG1157	Droere#FBpp0132926, Dromel#FBpp0076158, Drosec#FBpp0206600, Drosim#FBpp0212561, Droyak#FBpp0265820
OG11594	Droere#FBpp0131914, Dromel#FBpp0081210, Drosec#FBpp0192366, Drosim#FBpp0218270, Droyak#FBpp0255223
OG11600	Droere#FBpp0129857, Dromel#FBpp0078514, Droper#FBpp0186323, Dropse#FBpp0284477, Drosec#FBpp0192151, Drosim#FBpp0218051, Droyak#FBpp0270335
OG11608	Drogri#FBpp0147385, Dromoj#FBpp0166448, Droper#FBpp0185231, Dropse#FBpp0272542, Drovir#FBpp0232407, Drowil#FBpp0378893
OG11623	Droere#FBpp0130101, Dromel#FBpp0084554, Drosec#FBpp0191871, Drosim#FBpp0219739, Droyak#FBpp0268750
OG1163	Droana#FBpp0118479, Droere#FBpp0143078, Drogri#FBpp0147695, Dromel#FBpp0077478, Dromoj#FBpp0163375, Droper#FBpp0183513, Dropse#FBpp0280529, Drosec#FBpp0199717, Drosim#FBpp0221247, Drovir#FBpp0236709, Drowil#FBpp0244132, Droyak#FBpp0260147
OG11646	Droere#FBpp0135508, Dromel#FBpp0082654, Drosec#FBpp0205745, Drosim#FBpp0315136, Droyak#FBpp0269359
OG11659	Drogri#FBpp0149540, Dromoj#FBpp0385380, Droper#FBpp0177344, Dropse#FBpp0340488, Drovir#FBpp0394521, Drowil#FBpp0374261
OG1165	Droana#FBpp0351991, Droere#FBpp0372644, Dromel#FBpp0300803, Droper#FBpp0180577, Dropse#FBpp0272638, Drosim#FBpp0318246, Droyak#FBpp0361414
OG1167	Droere#FBpp0129970, Dromel#FBpp0084277, Drosec#FBpp0191741, Drosim#FBpp0219636, Droyak#FBpp0268629
OG11688	Droere#FBpp0138014, Dromel#FBpp0082180, Drosec#FBpp0205564, Drosim#FBpp0316620, Droyak#FBpp0357340
OG1168	Droana#FBpp0116727, Droere#FBpp0141335, Dromel#FBpp0071789, Dromoj#FBpp0169538, Drosec#FBpp0197424, Drosim#FBpp0322967, Drovir#FBpp0236462, Drowil#FBpp0250595, Droyak#FBpp0259029
OG116	Dromel#FBpp0086075, Drosec#FBpp0203252, Drosim#FBpp0209670, Droyak#FBpp0360693
OG1170	Droere#FBpp0143514, Dromel#FBpp0077183, Drosec#FBpp0199914, Droyak#FBpp0263269
OG1172	Droana#FBpp0119961, Drogri#FBpp0158889, Dromoj#FBpp0385845, Droper#FBpp0185640, Dropse#FBpp0281423, Drovir#FBpp0229130, Drowil#FBpp0254238
OG11732	Droere#FBpp0131033, Dromel#FBpp0083716, Drosec#FBpp0205095, Drosim#FBpp0216829, Droyak#FBpp0269018
OG11760	Droere#FBpp0142325, Dromel#FBpp0079932, Drosec#FBpp0208251, Drosim#FBpp0222232, Droyak#FBpp0263592
OG11778	Drogri#FBpp0150567, Dromoj#FBpp0160837, Droper#FBpp0186946, Dropse#FBpp0275433, Drovir#FBpp0225715, Drowil#FBpp0249694
OG1178	Droana#FBpp0342340, Droere#FBpp0133650, Drogri#FBpp0151177, Dromel#FBpp0083396, Dromoj#FBpp0159812, Droper#FBpp0188385, Dropse#FBpp0300210, Drosec#FBpp0204632, Drosim#FBpp0218432, Drovir#FBpp0396062, Drowil#FBpp0378628, Droyak#FBpp0359080
OG11798	Droere#FBpp0143157, Dromel#FBpp0077650, Drosec#FBpp0198102, Drosim#FBpp0221327, Droyak#FBpp0260765
OG1179	Droere#FBpp0133182, Dromel#FBpp0072496, Drosec#FBpp0195728, Drosim#FBpp0211910, Droyak#FBpp0266004
OG1180	Droere#FBpp0141864, Drogri#FBpp0155210, Dromel#FBpp0087930, Dromoj#FBpp0169011, Droper#FBpp0175811, Dropse#FBpp0276192, Drosec#FBpp0202472, Drosim#FBpp0325517, Drovir#FBpp0229534, Drowil#FBpp0248558, Droyak#FBpp0362668
OG11811	Drogri#FBpp0148190, Dromoj#FBpp0172395, Droper#FBpp0187588, Dropse#FBpp0284085, Drovir#FBpp0228908, Drowil#FBpp0243351
OG11815	Drogri#FBpp0151747, Droper#FBpp0179120, Dropse#FBpp0272558, Drovir#FBpp0233549
